98 1351
90 52 27
78 25 19
45 86 30
93 69 75
39 32 16
84 83 9
69 55 2
18 23 46
87 59 41
72 56 73
75 54 28
33 76 75
51 20 37
54 40 13
30 7 49
6 98 74
1 77 66
54 53 21
81 12 78
57 25 31
33 90 76
15 78 68
24 6 41
66 29 57
81 15 81
6 63 37
96 58 36
60 45 11
69 54 70
66 95 32
60 96 63
36 90 57
3 77 68
18 89 38
57 86 11
39 27 28
90 44 10
51 73 49
42 51 77
63 6 80
30 64 30
54 47 73
75 67 3
72 64 68
3 46 58
96 82 64
90 26 25
33 85 78
18 33 79
27 28 6
60 80 73
87 8 79
93 1 82
6 7 69
27 81 34
81 94 30
33 19 50
96 69 25
21 20 21
33 38 71
12 43 12
39 75 78
36 69 25
66 28 73
69 24 21
36 62 12
33 57 34
33 43 23
45 30 39
42 12 76
42 66 54
63 97 52
15 60 13
81 35 32
30 66 54
90 11 57
45 17 78
66 90 71
9 96 5
24 27 15
9 63 73
12 78 72
3 13 42
39 40 31
96 95 51
30 8 79
45 89 77
18 69 11
45 66 42
48 74 79
27 7 28
27 48 6
72 3 13
84 69 50
3 18 54
72 31 17
9 34 51
78 34 57
57 14 48
60 19 60
90 87 58
54 84 36
63 90 28
45 5 45
24 62 1
27 45 27
87 32 14
21 27 27
12 36 23
93 74 13
75 12 33
12 25 22
30 31 49
78 48 11
33 34 7
51 10 28
84 67 25
69 94 78
81 1 25
75 25 61
63 43 14
87 7 9
78 59 2
6 23 78
66 85 43
93 67 48
81 70 69
84 15 10
66 91 69
33 95 12
96 88 50
69 32 45
27 1 77
6 32 53
15 79 49
33 66 32
18 25 36
60 11 31
84 64 31
12 97 69
96 98 56
36 2 82
1 32 5
72 13 82
18 40 31
39 81 57
69 79 68
30 86 25
3 95 11
27 32 80
1 53 15
42 63 9
63 72 31
33 95 45
87 29 52
93 87 1
60 31 44
84 10 56
15 19 13
66 26 64
21 20 72
39 42 23
18 27 70
69 42 19
1 42 12
36 47 21
72 53 24
81 44 40
33 44 22
57 64 35
51 74 33
66 88 50
90 89 20
69 89 35
54 80 4
12 46 66
84 33 21
60 24 49
24 7 12
42 18 81
3 49 9
30 40 68
90 50 46
42 11 50
96 23 65
6 79 30
54 92 9
27 45 14
27 68 79
45 92 28
12 21 59
21 35 26
24 81 56
36 74 41
27 92 79
30 82 55
66 79 20
60 73 1
30 97 30
30 31 50
42 57 12
33 44 73
63 91 74
48 40 79
45 85 6
45 10 11
84 47 24
75 14 64
30 95 65
54 26 21
96 86 67
57 28 6
45 91 81
81 92 78
54 62 67
81 23 51
51 1 59
24 94 70
24 32 17
51 77 63
42 20 49
90 63 15
48 97 7
36 44 79
63 80 20
12 91 42
21 62 68
33 69 38
84 70 30
15 14 55
3 66 17
9 46 21
90 42 61
6 87 31
36 61 20
90 74 63
15 52 67
42 88 10
48 88 13
93 28 47
78 51 17
30 42 47
81 2 36
15 20 30
39 73 63
54 13 15
63 23 69
60 85 3
36 53 10
54 84 79
33 52 16
75 45 69
39 97 34
9 25 62
18 40 20
81 82 1
54 64 33
51 1 26
42 32 49
18 91 5
18 61 5
15 17 57
63 75 71
30 40 34
9 16 44
93 40 39
72 43 70
24 91 15
57 48 25
54 2 40
72 27 1
30 34 74
81 64 45
48 27 74
66 58 31
63 73 24
51 37 40
48 81 5
51 33 12
57 10 40
51 67 23
12 92 31
9 70 51
18 85 73
3 5 32
57 30 18
30 3 22
69 6 6
39 17 35
84 9 41
21 10 1
87 21 71
36 88 9
93 89 52
63 10 30
90 86 47
57 36 65
9 46 14
27 13 66
54 65 19
36 21 20
57 82 66
51 48 76
39 2 59
75 44 7
66 42 11
81 70 26
6 47 27
54 17 55
84 30 47
24 58 8
90 38 54
63 74 41
9 66 13
72 22 40
9 15 60
75 33 40
21 86 10
12 4 40
93 1 44
42 66 37
1 27 30
36 21 76
57 6 54
12 81 9
57 89 20
63 16 2
78 93 4
69 4 35
15 57 80
39 63 50
87 53 73
21 9 29
93 13 11
45 6 16
57 32 25
75 36 28
42 47 73
96 72 76
15 80 16
21 35 30
6 42 64
54 32 25
12 37 1
78 43 69
60 58 51
87 53 58
36 26 26
48 68 34
57 56 47
9 29 38
84 77 44
21 77 13
21 68 5
51 7 50
1 71 17
75 59 31
90 30 73
93 10 35
66 91 70
66 56 22
72 25 20
42 1 40
45 87 29
33 39 20
33 31 57
81 19 66
60 49 79
24 26 73
27 12 5
24 12 6
72 85 57
33 7 77
36 56 10
81 49 27
60 6 50
78 82 50
24 22 33
9 32 30
54 91 73
78 82 42
96 52 22
33 31 33
60 79 70
6 60 52
30 52 38
75 22 34
51 22 78
6 32 65
96 73 74
51 73 82
6 43 39
93 76 48
90 5 61
15 45 82
60 79 82
51 35 30
69 28 11
60 69 7
6 12 28
45 44 67
27 2 71
21 53 33
15 57 19
27 36 24
60 64 75
9 74 73
63 67 14
24 44 34
60 13 26
33 36 14
24 62 1
15 44 56
90 43 7
15 25 15
72 78 6
60 62 52
54 97 41
15 39 38
57 40 53
42 1 6
6 38 56
3 49 48
93 35 25
30 83 50
30 54 63
21 39 42
24 18 73
57 6 27
66 47 64
87 11 37
90 1 24
90 57 62
90 91 78
33 75 79
45 68 67
39 20 14
51 10 48
12 36 35
30 75 45
60 19 31
75 94 43
1 63 39
69 68 25
69 6 23
72 45 51
96 95 19
9 69 55
78 71 53
18 29 9
9 48 14
75 85 5
27 52 51
18 94 6
78 50 5
9 85 68
81 40 48
45 38 76
27 34 20
42 72 20
87 52 9
15 83 20
48 54 79
45 30 20
96 76 14
21 52 46
3 76 53
27 66 65
66 43 9
90 91 77
30 28 45
6 12 43
57 38 79
75 27 58
90 26 28
72 14 3
9 15 50
87 35 18
93 90 10
45 76 58
33 18 76
96 73 19
45 49 51
24 1 13
6 71 32
12 69 72
75 54 6
66 40 26
81 47 19
42 19 53
81 2 36
27 86 45
84 65 4
27 88 58
39 82 1
39 37 46
21 50 51
63 67 22
60 64 62
84 80 42
57 83 61
93 58 15
21 9 63
75 85 43
15 75 77
66 78 29
78 50 12
30 84 65
48 10 61
12 38 20
39 21 54
93 57 74
75 72 27
12 60 8
1 62 46
33 95 2
81 31 35
33 37 44
63 2 21
63 72 81
1 48 43
24 65 78
30 25 19
6 85 41
93 28 43
36 65 63
72 42 9
75 92 16
60 69 46
66 15 21
78 67 7
51 14 54
15 8 44
1 15 52
60 8 41
9 33 14
15 42 12
1 20 47
81 79 70
48 43 79
63 15 78
45 33 71
27 69 46
48 91 2
39 46 18
36 22 51
45 22 13
39 70 73
9 91 77
54 28 32
24 4 69
42 83 25
33 27 40
42 49 27
60 7 15
15 71 46
18 14 9
54 69 75
78 46 22
90 89 11
84 65 71
27 81 62
75 28 7
72 54 31
1 75 2
12 18 36
39 12 79
9 22 36
18 95 50
24 22 2
6 73 26
93 32 9
81 52 33
6 54 20
24 78 68
42 90 26
84 88 12
39 95 70
45 78 10
1 96 39
1 9 9
24 26 76
57 31 33
21 5 11
51 8 28
96 45 41
3 61 75
51 23 27
12 84 49
66 10 59
9 69 55
63 55 10
96 10 15
84 52 43
60 3 4
6 61 5
72 34 56
15 76 6
18 78 42
66 43 35
15 27 15
42 61 11
54 5 60
45 67 16
36 27 12
90 85 27
63 59 42
93 91 11
3 93 66
87 19 16
1 97 62
21 26 73
69 24 39
60 68 12
81 25 32
60 90 22
66 54 49
87 29 62
75 22 3
24 98 71
84 95 25
75 48 9
27 59 62
6 41 40
27 15 82
84 21 53
33 66 11
18 75 8
3 22 6
15 56 76
69 32 76
9 22 75
24 71 64
51 17 56
15 63 67
90 48 22
15 42 47
15 66 72
42 89 22
9 63 26
18 93 37
45 36 2
60 59 65
75 86 79
36 73 76
54 44 52
33 91 27
6 29 31
6 73 45
9 83 60
93 38 8
51 35 50
51 92 68
12 1 73
69 22 63
12 27 62
84 34 54
66 79 58
87 8 16
36 16 65
12 70 65
42 69 80
42 60 20
96 6 20
48 6 77
96 72 76
27 56 75
30 50 4
63 85 51
24 89 23
78 11 20
24 95 10
27 61 23
81 91 76
63 62 18
51 87 10
78 82 3
24 94 52
12 1 61
84 35 66
90 10 45
12 91 42
15 70 65
15 46 31
84 9 50
30 35 58
33 34 23
66 21 74
63 60 17
18 25 48
57 31 27
51 78 15
27 1 63
48 88 59
42 16 73
81 73 8
63 46 16
75 11 68
66 4 57
24 26 49
72 38 23
30 98 72
57 30 12
69 16 64
63 11 13
6 34 26
90 18 9
90 12 9
21 67 38
57 18 75
87 88 51
66 48 61
63 50 15
84 41 11
36 97 65
54 27 66
9 72 14
6 75 5
84 34 71
39 59 23
81 29 15
78 58 30
21 57 7
63 38 58
30 23 71
60 35 15
1 17 72
93 32 41
30 50 4
78 23 63
51 43 54
93 8 59
48 72 21
72 92 36
27 19 7
6 72 26
36 97 29
81 16 26
15 55 82
48 25 36
3 34 55
69 62 65
48 55 61
51 41 54
45 22 61
75 19 47
45 18 17
24 44 50
1 98 31
39 93 71
60 29 72
84 9 6
90 13 50
84 82 82
45 22 70
81 46 81
60 39 57
75 84 82
60 50 24
57 15 74
39 14 71
48 97 19
42 26 19
24 6 77
96 50 9
12 24 56
57 19 51
81 44 65
84 16 76
21 90 80
54 17 37
93 68 70
12 78 39
45 30 56
96 71 59
78 11 35
90 93 58
69 22 9
78 37 33
84 49 64
93 96 40
54 19 3
12 89 8
93 61 9
21 29 8
66 5 59
96 77 59
81 36 49
54 40 81
21 65 33
84 64 24
78 85 51
54 76 50
24 32 63
93 21 80
6 7 19
30 23 33
36 94 67
81 32 6
78 38 12
81 1 19
78 17 25
63 64 47
3 62 26
39 90 66
93 75 77
3 70 29
72 83 23
36 72 59
60 43 53
9 84 11
12 68 1
78 61 69
48 31 75
57 54 82
93 38 55
78 34 67
60 32 63
24 89 32
93 14 20
12 13 6
42 59 42
54 77 53
96 32 39
27 17 3
96 24 73
51 12 75
96 77 41
12 34 14
51 64 23
54 30 56
18 90 75
21 30 65
63 57 80
93 69 45
15 4 77
36 47 63
1 9 61
6 49 1
93 16 64
90 9 58
33 84 9
1 2 9
39 7 11
45 84 32
39 66 53
84 26 60
48 87 81
6 24 26
48 81 40
27 44 67
63 69 67
81 28 25
57 2 81
15 69 4
90 76 13
84 53 32
3 71 64
54 96 1
9 61 11
63 18 63
90 43 16
93 47 5
57 64 54
36 21 30
81 73 58
87 26 36
27 69 64
54 18 77
21 88 49
60 74 26
87 89 33
1 91 30
75 48 21
66 41 22
15 48 30
96 43 36
24 11 54
45 71 23
3 89 75
69 35 52
54 64 53
42 36 69
93 66 3
69 50 34
12 80 18
78 88 37
75 62 58
84 46 66
75 81 1
30 91 44
69 80 6
60 1 14
9 94 54
39 85 4
36 50 9
84 29 29
84 34 56
30 39 20
51 15 39
48 63 9
84 32 41
87 73 49
36 15 7
33 51 72
24 38 49
6 79 21
93 52 60
81 7 33
69 6 25
60 25 41
96 46 43
69 48 38
63 3 11
51 81 8
51 48 61
87 36 20
21 36 65
78 49 59
51 68 73
63 96 40
51 60 82
54 29 30
18 36 67
81 93 18
87 36 47
93 12 40
33 67 65
3 55 56
75 11 81
45 31 75
9 69 9
36 31 42
96 7 16
81 44 56
57 32 18
45 59 14
57 63 50
12 5 27
93 61 38
9 38 21
15 43 65
66 87 68
48 92 30
84 78 37
48 16 68
24 10 9
63 36 30
45 29 62
78 64 75
12 27 81
54 93 12
87 46 37
60 19 70
36 51 2
1 7 46
63 5 47
27 37 47
75 58 61
12 65 72
12 38 55
57 74 72
3 38 28
33 47 39
33 64 69
84 31 78
45 46 82
6 7 9
66 27 2
9 38 66
21 22 65
45 88 10
39 85 33
75 70 69
69 25 48
63 89 17
69 88 27
84 31 82
30 66 77
18 31 72
18 67 25
42 12 51
45 67 67
54 72 19
6 75 59
36 68 79
87 22 53
75 48 68
45 31 71
51 22 76
27 24 54
72 18 4
57 55 50
75 4 49
15 16 16
15 34 33
9 93 16
45 82 66
3 9 33
21 35 26
9 6 36
60 75 6
9 46 5
84 34 57
90 92 29
39 88 63
42 66 48
87 29 16
66 75 14
45 75 31
21 12 21
12 9 26
75 76 19
54 78 24
9 81 35
12 63 64
42 9 61
54 29 56
54 18 60
15 95 79
69 58 16
15 66 27
3 70 66
1 30 46
66 29 78
81 78 20
84 31 76
9 97 80
39 42 11
6 84 20
45 24 48
78 40 39
12 89 53
39 94 36
48 18 77
15 69 27
84 90 62
15 48 32
24 9 52
96 28 15
39 81 18
3 82 46
